id,지표명,실시간여부,실시간참고,정의,원천데이터,산식,제공목적,차트형태,참고
data_011,우리 매장 고객 구성,N,,"세그먼트(단골/신규/일반/휴면)별 고객수 비중, 매장 기준. 화면 상단 '지난 주/지난 달' 고정 탭으로 조회 시점 선택(배치 스냅샷, 진행 중인 이번 주·이번 달은 미제공)",,,고객 구성 파악,"파이 차트 (세그먼트 4개, 범례에 세그먼트명·구성비 표시, 비율은 고객수 기준)","세그먼트 정의 (4-1 기준)
신규: 최근 30일 내 구매 있음 + 그 이전 31일~1년 구매 없음
단골: 최근 60일 내 4회 이상 구매, 그중 최근 30일 내 2회 이상 포함
휴면: 90일 내 구매이력 있음 + 최근 60일간 구매 없음
일반: 나머지
※ 네 세그먼트는 서로 배타적 · 신규 판정에는 최대 1년치 구매이력 필요"
data_012,단골·신규 추이 (최근 3개월) + 주변매장 평균 비교,N,,"월별 세그먼트 인원수 변화, 화면 상단 기간 탭과 무관하게 항상 최근 3개월 고정 표시. 단골/신규 탭 전환 시 월별로 우리 매장과 주변매장 평균을 나란히 비교",,,"증감 추세·이탈 조짐 조기 파악, 월별로 주변매장 대비 우리 매장 위치를 바로 파악","탭(단골/신규) + 월별 그룹 막대차트 (우리 매장 vs 주변매장 평균 나란히, 월별 차이 배지 표시)",
data_016,재방문 주기(고착도),N,,"매장 기준 회원별 재방문 간격 평균, '지난 달' 탭에서만 노출('지난 주'는 표본 부족으로 미노출)",,,간격 증가 시 이탈 조짐 조기 파악,"정보 카드 (큰 수치: ""9.2일"" + 라벨 ""평균 재방문 간격"")",
data_017,포인트 활용 지표(H값),N,,"적립부담금 대비 사용매출 비율, 화면 상단 '지난 주/지난 달' 고정 탭 기준. 전기 대비가 아닌 주변매장 평균과 비교",,,"포인트 프로그램이 남는 장사인지 판단 (""부담금보다 사용매출이 더 크다""는 걸 직관적으로 인지)",상단 KPI 미니 카드 (H값% 크게 표시 + 100% 기준선 게이지 바 + 주변매장 평균 대비 배지),
data_019,손님 상세분석 (세그먼트별),N,,세그먼트(전체/단골/신규/일반/휴면) 탭별 방문 손님 수·주문수·매출·평균 방문횟수·객단가·인기 카테고리·인구통계 구성을 문장형으로 제공. 화면 상단 '지난 주/지난 달' 고정 탭 기준(휴면은 세그먼트 정의상 항상 최근 60일 이상 미구매이므로 방문수 외 지표 미노출). (v4) 세그먼트 매출을 POS 전체 매출로 나누던 '매출기여도'는 정합성 문제로 제거,,,세그먼트별 손님 특성을 한눈에 스토리텔링으로 파악,세그먼트 탭(전체/단골/신규/일반/휴면) + 문장형 카드 (탭 전환 시 문장 내 수치 갱신),
data_020,연령/성별 방문 손님 분포,N,,"연령대+성별 조합 계열별 고객 구성비(상위 5개+기타), 화면 상단 '지난 주/지난 달' 고정 탭 기준",,,"핵심 고객층 파악, 단골/휴면 비중이 높은 계열 식별","파이 차트 (상위 5개 계열 + 기타, 범례에 계열명·구성비 표시). 단골비율 최고 계열과 휴면비율 최고 계열을 각각 배지로 구분 표시",
data_021,연령대별 인기상품 Top3,N,,"연령대별 주문건수 상위 상품 1~3위, 화면 상단 '지난 주/지난 달' 고정 탭 기준. 하단 전체/남/여 필터로 성별 세분화",,,"연령대/성별 맞춤 메뉴 구성, 타겟 프로모션 참고","테이블 (행: 연령대, 열: Top3 상품명) + 하단 전체/남/여 필터 탭",
data_023,전체 매출액 (POS),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",집계기간 POS 온/오프라인 통합 매출,,,전체 매출 현황 파악,KPI 카드,
data_024,전체 주문 건수 (POS),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",집계기간 POS 온/오프라인 통합 주문 수,,,전체 매출 현황 파악,KPI 카드,
data_025,일평균 매출 (POS),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",집계기간 내 일 평균 매출 (주간/월간 탭에만 노출),,,기간별 매출 추세 참고,KPI 카드,
data_026,일평균 건수 (POS),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",집계기간 내 일 평균 주문건수 (주간/월간 탭에만 노출),,,기간별 주문량 추세 참고,KPI 카드,
data_027,오프라인/온라인 점유율,Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",POS 매출 중 오프라인 vs 온라인(배달+픽업 합산) 비중,,,채널 믹스 전략 참고,도넛/파이 차트 (2개 슬라이스),
data_028,객단가 (POS),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",POS 주문 1건당 평균 금액,,,단가 전략 참고,KPI 카드,
data_029,시간대별 주문현황 (POS),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",1시간 단위 POS 주문건수,,,"피크타임 파악, 인력배치 참고",세로 막대차트 (7개 시간대),
data_031,일평균 매출 (딜리버리),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",주간/월간 탭의 일 평균 매출,,,기간별 매출 추세 참고,KPI 카드 (이번주/이번달 KPI 내 추가 항목),
data_032,일평균 건수 (딜리버리),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.",주간/월간 탭의 일 평균 주문건수,,,기간별 주문량 추세 참고,KPI 카드 (이번주/이번달 KPI 내 추가 항목),
data_033,멤버십 손님 수,N,,"화면 상단 '지난 주/지난 달' 고정 탭 기준, 해피포인트를 적립·사용하며 방문한 유니크 손님 수(휴면 제외)",,,이 리포트가 몇 명의 데이터를 기반으로 하는지 규모감 전달,"상단 KPI 카드 (인원수 크게 표시, 멤버십 적립·사용 주문건수와 한 카드로 묶어 연결된 서술로 제공)",
data_034,"요일별 매출 누적 (날짜별 보기, 주간)",Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","주간 탭 기준, 이번 주 누적(전일자 마감 기준, 아직 지나지 않은 요일은 표시 안 함)",,,요일 패턴 파악,요일별 막대차트 (월~일 7개),
data_035,"채널별 매출 (홈, POS 기준)",Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","오프라인 매장 + 배달앱 채널별 매출 breakdown, 선택 탭 기준",,,채널별 성과 비교,"세로 막대차트 (오프라인 포함 6개 채널, 투명도 단계 적용)",
data_036,일간 매출 누적 (홈 실시간),Y,,"당일 자정부터 현재까지 누적 매출, 인근매장 평균 대비 비교. 당일은 마감 전 진행 중인 기간이라 전일 대비 증감은 표시하지 않음(마감 데이터 기준 전일 대비는 날짜별 보기-일간 탭에서 확인)",,,당일 영업 현황을 실시간으로 파악하고 즉시 비교,KPI 카드 (값 + 비교 배지 1개: 지역 평균 대비),
data_037,일간 주문건수 누적 (홈 실시간),Y,,"당일 자정부터 현재까지 누적 주문건수, 인근매장 평균 대비 비교. 당일은 마감 전 진행 중인 기간이라 전일 대비 증감은 표시하지 않음",,,당일 주문량 추이를 실시간으로 파악,KPI 카드 (값 + 비교 배지 1개: 지역 평균 대비),
data_038,일간 객단가 누적 (홈 실시간),Y,,"당일 누적 매출 ÷ 당일 누적 주문건수, 인근매장 평균 대비 비교. 당일은 마감 전 진행 중인 기간이라 전일 대비 증감은 표시하지 않음",,,당일 객단가 변화를 실시간으로 파악,KPI 카드 (값 + 비교 배지 1개: 지역 평균 대비),
data_039,"주간 매출 누적 (요일별, 홈 실시간)",Y,,이번 주 월요일부터 오늘까지 요일별 누적 매출·객단가 + 주간 누적 총액(지역 평균 대비). 이번 주는 마감 전 진행 중인 기간이라 전주 대비 증감은 표시하지 않음. 아직 도래하지 않은 요일은 표시하지 않음,,,"주간 매출 추이와 요일별 객단가, 주간 총액의 지역 비교를 함께 파악","상단 주간 누적 금액 + 비교 배지 1개(지역 평균 대비), 막대차트 + 상단 요일별 매출·객단가 스트립 (오늘은 강조색, 미래 요일은 막대 없음)",
data_040,"시간대별 주문건수 (날짜별 보기, 일간)",Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","일간 탭 기준, 해당 일 시간대별 누적 주문건수(실측치)",,,시간대별 피크 파악,세로 막대차트 (2시간 단위 7구간),
data_041,지난 달 해피포인트 적립·사용 주문건수,N,,지난 달 한 달간 포인트를 적립·사용한 주문건수(HPC 단일 소스 절대값). 인근매장의 동일 지표 평균과 비교. (v4) POS 전체 주문건수를 분모로 쓰던 비율 산식은 두 시스템 간 정합성 문제로 폐기하고 HPC 절대값만 사용. 고객상세분석 화면이 '지난 주/지난 달' 고정 배치 스냅샷으로 바뀌면서 이 카드도 최근 30일 롤링이 아닌 '지난 달' 고정 기준으로 통일,,,"상세분석 리포트가 근거로 삼는 데이터 볼륨을 절대값으로 안내하고, 지역 평균과의 격차로 포인트 적립·사용 유도. ※ 이 지표만 고객상세분석 데이터 배치 갱신 주기를 따름(그 외 홈 지표는 실시간)","적립·사용 주문건수 + 지역 평균 건수 병기, 카드 전체가 멤버십 고객 분석으로 이어지는 클릭형 CTA",
data_042,딜리버리 점유율 (홈 실시간),Y,,최근 30일 총 매출 중 딜리버리(배달앱) 채널 매출이 차지하는 비중,,,딜리버리 채널 기여도를 파악하고 딜리버리 고객 분석으로 드릴다운,도넛차트(딜리버리 vs 그 외) + 상세분석 진입 링크,
data_043,인기상품 TOP3 (날짜별 보기),Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","선택 탭·기간 기준 주문건수 상위 3개 상품, 각 상품의 전체 매출 대비 비중 표시",,,판매량 기준 인기 상품 파악,순위 리스트 (이름 + 주문건수 + 매출 비중 배지),
data_044,멤버십 적립·사용 주문건수,N,,"화면 상단 '지난 주/지난 달' 고정 탭 기준, 해피포인트를 적립·사용한 주문건수(HPC 단일 소스 절대값). 주변매장의 동일 지표 평균과 비교. (v4) POS 전체 주문건수 대비 비율로 표시하던 '멤버십 주문 비중'은 정합성 문제로 폐기",,,"리포트가 근거로 삼는 데이터 볼륨을 절대값으로 안내하고, 주변매장 대비 위치 파악","상단 KPI 카드 (멤버십 손님 수와 한 카드로 묶어 연결된 서술로 제공, 주변매장 평균 대비 배지)",
data_045,"요일별 매출 평균 (날짜별 보기, 월간)",Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","월간 탭 기준, 해당 월 중 마감된 요일 발생분의 평균",,,요일 패턴 파악,요일별 막대차트 (월~일 7개),
data_046,"시간대별 주문건수 일평균 (날짜별 보기, 주간·월간)",Y,"진행 중인 현재 기간(오늘/이번 주/이번 달)만 실시간이며, 화살표로 과거 기간을 조회하면 마감된 배치 데이터예요.","주간·월간 탭 기준, 경과일 기준 시간대별 일평균 주문건수",,,시간대별 피크 파악 (평균 패턴),세로 막대차트 (2시간 단위 7구간),
